{'M_BLOCKING=12_avg': 269.961, 'M_BLOCKING=12_best': 269.961, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 269.22, 'M_BLOCKING=16_best': 269.22, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 265.06, 'M_BLOCKING=1_best': 265.06, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 265.622, 'M_BLOCKING=2_best': 265.622, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 266.934, 'M_BLOCKING=3_best': 266.934, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 266.04600000000005, 'M_BLOCKING=6_best': 266.04600000000005, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9000000, 'xsmm_reference_avg': 258.607, 'xsmm_reference_best': 258.607, 'xsmm_reference_cpu_freq': 2.999877, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 166.1, 'M_BLOCKING=12_best': 166.1, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 166.468, 'M_BLOCKING=16_best': 166.468, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 158.347, 'M_BLOCKING=1_best': 158.347, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 162.222, 'M_BLOCKING=2_best': 162.222, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 163.604, 'M_BLOCKING=3_best': 163.604, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 166.408, 'M_BLOCKING=6_best': 166.408, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9000000, 'xsmm_reference_avg': 159.842, 'xsmm_reference_best': 159.842, 'xsmm_reference_cpu_freq': 2.999931, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 209.902, 'M_BLOCKING=12_best': 209.902, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 212.587, 'M_BLOCKING=16_best': 212.587, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 200.299, 'M_BLOCKING=1_best': 200.299, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 201.495, 'M_BLOCKING=2_best': 201.495, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 202.651, 'M_BLOCKING=3_best': 202.651, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 205.68600000000004, 'M_BLOCKING=6_best': 205.68600000000004, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 6000000, 'xsmm_reference_avg': 188.14700000000005, 'xsmm_reference_best': 188.14700000000005, 'xsmm_reference_cpu_freq': 2.999885, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 166.778, 'M_BLOCKING=12_best': 166.778, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 166.757, 'M_BLOCKING=16_best': 166.757, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 161.156, 'M_BLOCKING=1_best': 161.156, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 162.38, 'M_BLOCKING=2_best': 162.38, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 163.841, 'M_BLOCKING=3_best': 163.841, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 166.922, 'M_BLOCKING=6_best': 166.922, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9000000, 'xsmm_reference_avg': 161.236, 'xsmm_reference_best': 161.236, 'xsmm_reference_cpu_freq': 2.99994, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 269.74, 'M_BLOCKING=12_best': 269.74, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 269.822, 'M_BLOCKING=16_best': 269.822, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 261.427, 'M_BLOCKING=1_best': 261.427, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 261.71299999999997, 'M_BLOCKING=2_best': 261.71299999999997, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 262.421, 'M_BLOCKING=3_best': 262.421, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 262.94899999999996, 'M_BLOCKING=6_best': 262.94899999999996, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9000000, 'xsmm_reference_avg': 258.261, 'xsmm_reference_best': 258.261, 'xsmm_reference_cpu_freq': 2.99991, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 242.977, 'M_BLOCKING=12_best': 242.977, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 245.70500000000004, 'M_BLOCKING=16_best': 245.70500000000004, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 240.146, 'M_BLOCKING=1_best': 240.146, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 240.60699999999997, 'M_BLOCKING=2_best': 240.60699999999997, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 240.328, 'M_BLOCKING=3_best': 240.328, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 241.76099999999997, 'M_BLOCKING=6_best': 241.76099999999997, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 234.428, 'xsmm_reference_best': 234.428, 'xsmm_reference_cpu_freq': 2.999909, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 352.19500000000005, 'M_BLOCKING=12_best': 352.19500000000005, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 349.569, 'M_BLOCKING=16_best': 349.569, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 348.067, 'M_BLOCKING=1_best': 348.067, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 354.323, 'M_BLOCKING=2_best': 354.323, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 354.242, 'M_BLOCKING=3_best': 354.242, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 352.612, 'M_BLOCKING=6_best': 352.612, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 3555552, 'xsmm_reference_avg': 385.553, 'xsmm_reference_best': 385.553, 'xsmm_reference_cpu_freq': 2.999898, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 333.801, 'M_BLOCKING=12_best': 333.801, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 333.694, 'M_BLOCKING=16_best': 333.694, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 337.523, 'M_BLOCKING=1_best': 337.523, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 337.044, 'M_BLOCKING=2_best': 337.044, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 337.783, 'M_BLOCKING=3_best': 337.783, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 333.67999999999995, 'M_BLOCKING=6_best': 333.67999999999995, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 2133312, 'xsmm_reference_avg': 350.076, 'xsmm_reference_best': 350.076, 'xsmm_reference_cpu_freq': 2.999938, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 348.63199999999995, 'M_BLOCKING=12_best': 348.63199999999995, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 348.653, 'M_BLOCKING=16_best': 348.653, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 344.199, 'M_BLOCKING=1_best': 344.199, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 348.844, 'M_BLOCKING=2_best': 348.844, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 351.331, 'M_BLOCKING=3_best': 351.331, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 351.452, 'M_BLOCKING=6_best': 351.452, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 2666640, 'xsmm_reference_avg': 388.845, 'xsmm_reference_best': 388.845, 'xsmm_reference_cpu_freq': 2.999851, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 283.793, 'M_BLOCKING=12_best': 283.793, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 280.17100000000005, 'M_BLOCKING=16_best': 280.17100000000005, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 277.54100000000005, 'M_BLOCKING=1_best': 277.54100000000005, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 277.519, 'M_BLOCKING=2_best': 277.519, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 278.138, 'M_BLOCKING=3_best': 278.138, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 279.509, 'M_BLOCKING=6_best': 279.509, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 2666640, 'xsmm_reference_avg': 278.798, 'xsmm_reference_best': 278.798, 'xsmm_reference_cpu_freq': 2.999898, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 269.637, 'M_BLOCKING=12_best': 269.637, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 264.77, 'M_BLOCKING=16_best': 264.77, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 268.278, 'M_BLOCKING=1_best': 268.278, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 267.93899999999996, 'M_BLOCKING=2_best': 267.93899999999996, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 269.798, 'M_BLOCKING=3_best': 269.798, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 269.196, 'M_BLOCKING=6_best': 269.196, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 265.936, 'xsmm_reference_best': 265.936, 'xsmm_reference_cpu_freq': 2.999934, 'xsmm_reference_kernel_type': 'sparse'}
