{'M_BLOCKING=16_avg': 2.3276666666666666, 'M_BLOCKING=16_best': 2.3276666666666666, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 2.3313166666666665, 'M_BLOCKING=1_best': 2.3313166666666665, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 2.3374833333333336, 'M_BLOCKING=2_best': 2.3374833333333336, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 2.33595, 'M_BLOCKING=31_best': 2.33595, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 2.35725, 'M_BLOCKING=4_best': 2.35725, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 2.3376, 'M_BLOCKING=8_best': 2.3376, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 81600, 'xsmm_reference_avg': 2.42685, 'xsmm_reference_best': 2.42685, 'xsmm_reference_cpu_freq': 2.499924, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 1.0638333333333334, 'M_BLOCKING=16_best': 1.0638333333333334, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1.0383833333333332, 'M_BLOCKING=1_best': 1.0383833333333332, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1.0529166666666667, 'M_BLOCKING=2_best': 1.0529166666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 1.0473833333333333, 'M_BLOCKING=31_best': 1.0473833333333333, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 1.0692166666666667, 'M_BLOCKING=4_best': 1.0692166666666667, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 1.05655, 'M_BLOCKING=8_best': 1.05655, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 81600, 'xsmm_reference_avg': 1.1479833333333336, 'xsmm_reference_best': 1.1479833333333336, 'xsmm_reference_cpu_freq': 2.499939, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 2.56465, 'M_BLOCKING=16_best': 2.56465, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 2.50545, 'M_BLOCKING=1_best': 2.50545, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 2.50685, 'M_BLOCKING=2_best': 2.50685, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 2.5798666666666668, 'M_BLOCKING=31_best': 2.5798666666666668, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 2.5325166666666665, 'M_BLOCKING=4_best': 2.5325166666666665, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 2.52115, 'M_BLOCKING=8_best': 2.52115, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 81600, 'xsmm_reference_avg': 2.580233333333333, 'xsmm_reference_best': 2.580233333333333, 'xsmm_reference_cpu_freq': 2.499966, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 1.0481666666666667, 'M_BLOCKING=16_best': 1.0481666666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1.0394333333333334, 'M_BLOCKING=1_best': 1.0394333333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1.042, 'M_BLOCKING=2_best': 1.042, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 1.04925, 'M_BLOCKING=31_best': 1.04925, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 1.0609499999999998, 'M_BLOCKING=4_best': 1.0609499999999998, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 1.04655, 'M_BLOCKING=8_best': 1.04655, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 81600, 'xsmm_reference_avg': 1.1447, 'xsmm_reference_best': 1.1447, 'xsmm_reference_cpu_freq': 2.499947, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 2.32795, 'M_BLOCKING=16_best': 2.32795, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 2.3178666666666667, 'M_BLOCKING=1_best': 2.3178666666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 2.3172166666666665, 'M_BLOCKING=2_best': 2.3172166666666665, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 2.3359333333333323, 'M_BLOCKING=31_best': 2.3359333333333323, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 2.3252666666666664, 'M_BLOCKING=4_best': 2.3252666666666664, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 2.3404000000000003, 'M_BLOCKING=8_best': 2.3404000000000003, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 81600, 'xsmm_reference_avg': 2.4181166666666667, 'xsmm_reference_best': 2.4181166666666667, 'xsmm_reference_cpu_freq': 2.499925, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 5.3483833333333335, 'M_BLOCKING=16_best': 5.3483833333333335, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 5.291416666666667, 'M_BLOCKING=1_best': 5.291416666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 5.297533333333333, 'M_BLOCKING=2_best': 5.297533333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 5.368433333333333, 'M_BLOCKING=31_best': 5.368433333333333, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 5.304183333333333, 'M_BLOCKING=4_best': 5.304183333333333, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 5.321233333333334, 'M_BLOCKING=8_best': 5.321233333333334, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 81600, 'xsmm_reference_avg': 5.445383333333334, 'xsmm_reference_best': 5.445383333333334, 'xsmm_reference_cpu_freq': 2.499959, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 6.778066666666667, 'M_BLOCKING=16_best': 6.778066666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 6.485833333333333, 'M_BLOCKING=1_best': 6.485833333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 6.648383333333333, 'M_BLOCKING=2_best': 6.648383333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 6.726116666666667, 'M_BLOCKING=31_best': 6.726116666666667, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 6.751683333333333, 'M_BLOCKING=4_best': 6.751683333333333, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 6.91115, 'M_BLOCKING=8_best': 6.91115, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 81600, 'xsmm_reference_avg': 6.300066666666667, 'xsmm_reference_best': 6.300066666666667, 'xsmm_reference_cpu_freq': 2.499919, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 12.286133333333334, 'M_BLOCKING=16_best': 12.286133333333334, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 12.781066666666668, 'M_BLOCKING=1_best': 12.781066666666668, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 12.150816666666666, 'M_BLOCKING=2_best': 12.150816666666666, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 12.038066666666667, 'M_BLOCKING=31_best': 12.038066666666667, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 11.799533333333333, 'M_BLOCKING=4_best': 11.799533333333333, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 12.350349999999999, 'M_BLOCKING=8_best': 12.350349999999999, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 81600, 'xsmm_reference_avg': 11.195516666666666, 'xsmm_reference_best': 11.195516666666666, 'xsmm_reference_cpu_freq': 2.499905, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 10.060066666666668, 'M_BLOCKING=16_best': 10.060066666666668, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 10.10945, 'M_BLOCKING=1_best': 10.10945, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 10.071, 'M_BLOCKING=2_best': 10.071, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 10.032816666666667, 'M_BLOCKING=31_best': 10.032816666666667, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 10.0379, 'M_BLOCKING=4_best': 10.0379, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 10.095166666666668, 'M_BLOCKING=8_best': 10.095166666666668, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 81600, 'xsmm_reference_avg': 9.849683333333333, 'xsmm_reference_best': 9.849683333333333, 'xsmm_reference_cpu_freq': 2.49994, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 8.0258, 'M_BLOCKING=16_best': 8.0258, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 7.956, 'M_BLOCKING=1_best': 7.956, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 7.919616666666667, 'M_BLOCKING=2_best': 7.919616666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 8.155416666666666, 'M_BLOCKING=31_best': 8.155416666666666, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 7.9374, 'M_BLOCKING=4_best': 7.9374, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 7.967899999999999, 'M_BLOCKING=8_best': 7.967899999999999, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 81600, 'xsmm_reference_avg': 8.676133333333333, 'xsmm_reference_best': 8.676133333333333, 'xsmm_reference_cpu_freq': 2.499948, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 5.4947, 'M_BLOCKING=16_best': 5.4947, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 5.423266666666666, 'M_BLOCKING=1_best': 5.423266666666666, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 5.4417, 'M_BLOCKING=2_best': 5.4417, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 5.540649999999999, 'M_BLOCKING=31_best': 5.540649999999999, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 5.430616666666666, 'M_BLOCKING=4_best': 5.430616666666666, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 5.473083333333333, 'M_BLOCKING=8_best': 5.473083333333333, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 81600, 'xsmm_reference_avg': 5.874533333333333, 'xsmm_reference_best': 5.874533333333333, 'xsmm_reference_cpu_freq': 2.499965, 'xsmm_reference_kernel_type': 'wide-sparse'}
