{'M_BLOCKING=12_avg': 3.3092166666666665, 'M_BLOCKING=12_best': 3.3092166666666665, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 3.302833333333333, 'M_BLOCKING=16_best': 3.302833333333333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 3.2287500000000002, 'M_BLOCKING=1_best': 3.2287500000000002, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 3.2456833333333335, 'M_BLOCKING=2_best': 3.2456833333333335, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 3.2516333333333334, 'M_BLOCKING=3_best': 3.2516333333333334, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 3.2563833333333334, 'M_BLOCKING=6_best': 3.2563833333333334, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 105600, 'xsmm_reference_avg': 3.1925166666666667, 'xsmm_reference_best': 3.1925166666666667, 'xsmm_reference_cpu_freq': 2.499887, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 1.6110833333333334, 'M_BLOCKING=12_best': 1.6110833333333334, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 1.6107333333333334, 'M_BLOCKING=16_best': 1.6107333333333334, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1.5828833333333334, 'M_BLOCKING=1_best': 1.5828833333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1.6521666666666666, 'M_BLOCKING=2_best': 1.6521666666666666, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 1.65465, 'M_BLOCKING=3_best': 1.65465, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 1.6604833333333333, 'M_BLOCKING=6_best': 1.6604833333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 105600, 'xsmm_reference_avg': 1.54535, 'xsmm_reference_best': 1.54535, 'xsmm_reference_cpu_freq': 2.499928, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 3.72135, 'M_BLOCKING=12_best': 3.72135, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 3.674716666666666, 'M_BLOCKING=16_best': 3.674716666666666, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 3.50545, 'M_BLOCKING=1_best': 3.50545, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 3.52685, 'M_BLOCKING=2_best': 3.52685, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 3.53755, 'M_BLOCKING=3_best': 3.53755, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 3.6093333333333333, 'M_BLOCKING=6_best': 3.6093333333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 105600, 'xsmm_reference_avg': 3.384066666666667, 'xsmm_reference_best': 3.384066666666667, 'xsmm_reference_cpu_freq': 2.499952, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 1.6371833333333332, 'M_BLOCKING=12_best': 1.6371833333333332, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 1.6441166666666667, 'M_BLOCKING=16_best': 1.6441166666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1.5926166666666668, 'M_BLOCKING=1_best': 1.5926166666666668, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1.6515833333333334, 'M_BLOCKING=2_best': 1.6515833333333334, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 1.6570500000000001, 'M_BLOCKING=3_best': 1.6570500000000001, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 1.6720666666666666, 'M_BLOCKING=6_best': 1.6720666666666666, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 105600, 'xsmm_reference_avg': 1.5398500000000002, 'xsmm_reference_best': 1.5398500000000002, 'xsmm_reference_cpu_freq': 2.499964, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 3.311983333333333, 'M_BLOCKING=12_best': 3.311983333333333, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 3.31555, 'M_BLOCKING=16_best': 3.31555, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 3.196366666666667, 'M_BLOCKING=1_best': 3.196366666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 3.1967, 'M_BLOCKING=2_best': 3.1967, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 3.2040666666666673, 'M_BLOCKING=3_best': 3.2040666666666673, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 3.218033333333333, 'M_BLOCKING=6_best': 3.218033333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 105600, 'xsmm_reference_avg': 3.1385666666666667, 'xsmm_reference_best': 3.1385666666666667, 'xsmm_reference_cpu_freq': 2.49993, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 7.3303666666666665, 'M_BLOCKING=12_best': 7.3303666666666665, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 7.312699999999999, 'M_BLOCKING=16_best': 7.312699999999999, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 7.313833333333333, 'M_BLOCKING=1_best': 7.313833333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 7.3181666666666665, 'M_BLOCKING=2_best': 7.3181666666666665, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 7.307966666666667, 'M_BLOCKING=3_best': 7.307966666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 7.334533333333334, 'M_BLOCKING=6_best': 7.334533333333334, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 105600, 'xsmm_reference_avg': 7.20535, 'xsmm_reference_best': 7.20535, 'xsmm_reference_cpu_freq': 2.499949, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 8.931866666666668, 'M_BLOCKING=12_best': 8.931866666666668, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 8.655783333333334, 'M_BLOCKING=16_best': 8.655783333333334, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 8.649000000000001, 'M_BLOCKING=1_best': 8.649000000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 8.267333333333333, 'M_BLOCKING=2_best': 8.267333333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 8.41795, 'M_BLOCKING=3_best': 8.41795, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 8.5942, 'M_BLOCKING=6_best': 8.5942, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 105600, 'xsmm_reference_avg': 10.068716666666667, 'xsmm_reference_best': 10.068716666666667, 'xsmm_reference_cpu_freq': 2.499948, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 15.522433333333334, 'M_BLOCKING=12_best': 15.522433333333334, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 15.174333333333333, 'M_BLOCKING=16_best': 15.174333333333333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 16.311783333333334, 'M_BLOCKING=1_best': 16.311783333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 14.989416666666667, 'M_BLOCKING=2_best': 14.989416666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 15.360199999999999, 'M_BLOCKING=3_best': 15.360199999999999, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 15.929033333333333, 'M_BLOCKING=6_best': 15.929033333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 105600, 'xsmm_reference_avg': 15.872116666666667, 'xsmm_reference_best': 15.872116666666667, 'xsmm_reference_cpu_freq': 2.499921, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 13.246116666666667, 'M_BLOCKING=12_best': 13.246116666666667, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 12.924083333333332, 'M_BLOCKING=16_best': 12.924083333333332, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 13.228533333333333, 'M_BLOCKING=1_best': 13.228533333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 13.133466666666667, 'M_BLOCKING=2_best': 13.133466666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 12.867283333333335, 'M_BLOCKING=3_best': 12.867283333333335, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 12.993366666666667, 'M_BLOCKING=6_best': 12.993366666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 105600, 'xsmm_reference_avg': 13.584766666666667, 'xsmm_reference_best': 13.584766666666667, 'xsmm_reference_cpu_freq': 2.499943, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 11.870366666666666, 'M_BLOCKING=12_best': 11.870366666666666, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 11.5964, 'M_BLOCKING=16_best': 11.5964, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 11.499950000000002, 'M_BLOCKING=1_best': 11.499950000000002, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 11.444183333333335, 'M_BLOCKING=2_best': 11.444183333333335, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 11.549800000000001, 'M_BLOCKING=3_best': 11.549800000000001, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 11.654966666666667, 'M_BLOCKING=6_best': 11.654966666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 105600, 'xsmm_reference_avg': 11.11335, 'xsmm_reference_best': 11.11335, 'xsmm_reference_cpu_freq': 2.499999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 8.354266666666666, 'M_BLOCKING=12_best': 8.354266666666666, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 8.041916666666667, 'M_BLOCKING=16_best': 8.041916666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 8.232433333333335, 'M_BLOCKING=1_best': 8.232433333333335, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 8.24275, 'M_BLOCKING=2_best': 8.24275, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 8.338083333333334, 'M_BLOCKING=3_best': 8.338083333333334, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 8.2919, 'M_BLOCKING=6_best': 8.2919, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 105600, 'xsmm_reference_avg': 7.7444999999999995, 'xsmm_reference_best': 7.7444999999999995, 'xsmm_reference_cpu_freq': 2.499947, 'xsmm_reference_kernel_type': 'wide-sparse'}
