{'M_BLOCKING=12_avg': 1.8178333333333332, 'M_BLOCKING=12_best': 1.8178333333333332, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 1.81335, 'M_BLOCKING=16_best': 1.81335, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1.7714500000000006, 'M_BLOCKING=1_best': 1.7714500000000006, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1.7792666666666668, 'M_BLOCKING=2_best': 1.7792666666666668, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 1.7848, 'M_BLOCKING=3_best': 1.7848, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 1.7834666666666665, 'M_BLOCKING=6_best': 1.7834666666666665, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 57600, 'xsmm_reference_avg': 1.7297666666666667, 'xsmm_reference_best': 1.7297666666666667, 'xsmm_reference_cpu_freq': 2.49987, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 0.9070333333333332, 'M_BLOCKING=12_best': 0.9070333333333332, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 0.9084, 'M_BLOCKING=16_best': 0.9084, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 0.8853333333333333, 'M_BLOCKING=1_best': 0.8853333333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 0.9203666666666663, 'M_BLOCKING=2_best': 0.9203666666666663, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 0.9279499999999999, 'M_BLOCKING=3_best': 0.9279499999999999, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 0.9212666666666667, 'M_BLOCKING=6_best': 0.9212666666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 57600, 'xsmm_reference_avg': 0.8602166666666666, 'xsmm_reference_best': 0.8602166666666666, 'xsmm_reference_cpu_freq': 2.499947, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 2.01875, 'M_BLOCKING=12_best': 2.01875, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 2.0202166666666668, 'M_BLOCKING=16_best': 2.0202166666666668, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1.9267666666666665, 'M_BLOCKING=1_best': 1.9267666666666665, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1.938, 'M_BLOCKING=2_best': 1.938, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 1.9394666666666676, 'M_BLOCKING=3_best': 1.9394666666666676, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 1.96445, 'M_BLOCKING=6_best': 1.96445, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 57600, 'xsmm_reference_avg': 1.9158, 'xsmm_reference_best': 1.9158, 'xsmm_reference_cpu_freq': 2.499977, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 0.9010333333333336, 'M_BLOCKING=12_best': 0.9010333333333336, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 0.89605, 'M_BLOCKING=16_best': 0.89605, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 0.8864166666666667, 'M_BLOCKING=1_best': 0.8864166666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 0.9257500000000001, 'M_BLOCKING=2_best': 0.9257500000000001, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 0.9212166666666667, 'M_BLOCKING=3_best': 0.9212166666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 0.9250833333333334, 'M_BLOCKING=6_best': 0.9250833333333334, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 57600, 'xsmm_reference_avg': 0.89945, 'xsmm_reference_best': 0.89945, 'xsmm_reference_cpu_freq': 2.499897, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 1.8147666666666662, 'M_BLOCKING=12_best': 1.8147666666666662, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 1.81985, 'M_BLOCKING=16_best': 1.81985, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1.7447000000000001, 'M_BLOCKING=1_best': 1.7447000000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1.75135, 'M_BLOCKING=2_best': 1.75135, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 1.7553833333333333, 'M_BLOCKING=3_best': 1.7553833333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 1.7596166666666666, 'M_BLOCKING=6_best': 1.7596166666666666, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 57600, 'xsmm_reference_avg': 1.71825, 'xsmm_reference_best': 1.71825, 'xsmm_reference_cpu_freq': 2.499984, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 4.01415, 'M_BLOCKING=12_best': 4.01415, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 4.00415, 'M_BLOCKING=16_best': 4.00415, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 3.9827, 'M_BLOCKING=1_best': 3.9827, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 3.9878666666666676, 'M_BLOCKING=2_best': 3.9878666666666676, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 4.003616666666667, 'M_BLOCKING=3_best': 4.003616666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 4.0226999999999995, 'M_BLOCKING=6_best': 4.0226999999999995, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 57600, 'xsmm_reference_avg': 3.9235166666666665, 'xsmm_reference_best': 3.9235166666666665, 'xsmm_reference_cpu_freq': 2.499945, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 3.8293166666666663, 'M_BLOCKING=12_best': 3.8293166666666663, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 3.742366666666667, 'M_BLOCKING=16_best': 3.742366666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 4.2865166666666665, 'M_BLOCKING=1_best': 4.2865166666666665, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 3.8389333333333338, 'M_BLOCKING=2_best': 3.8389333333333338, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 4.1110999999999995, 'M_BLOCKING=3_best': 4.1110999999999995, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 3.8195166666666664, 'M_BLOCKING=6_best': 3.8195166666666664, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 57600, 'xsmm_reference_avg': 4.084683333333333, 'xsmm_reference_best': 4.084683333333333, 'xsmm_reference_cpu_freq': 2.499906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 7.396583333333333, 'M_BLOCKING=12_best': 7.396583333333333, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 7.2995, 'M_BLOCKING=16_best': 7.2995, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 7.780600000000001, 'M_BLOCKING=1_best': 7.780600000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 7.332, 'M_BLOCKING=2_best': 7.332, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 7.208216666666668, 'M_BLOCKING=3_best': 7.208216666666668, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 7.1691666666666665, 'M_BLOCKING=6_best': 7.1691666666666665, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 57600, 'xsmm_reference_avg': 7.113583333333334, 'xsmm_reference_best': 7.113583333333334, 'xsmm_reference_cpu_freq': 2.499915, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 5.715883333333333, 'M_BLOCKING=12_best': 5.715883333333333, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 5.38765, 'M_BLOCKING=16_best': 5.38765, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 5.466633333333333, 'M_BLOCKING=1_best': 5.466633333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 5.72755, 'M_BLOCKING=2_best': 5.72755, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 5.6266, 'M_BLOCKING=3_best': 5.6266, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 5.589616666666667, 'M_BLOCKING=6_best': 5.589616666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 57600, 'xsmm_reference_avg': 6.699816666666666, 'xsmm_reference_best': 6.699816666666666, 'xsmm_reference_cpu_freq': 2.499907, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 6.77275, 'M_BLOCKING=12_best': 6.77275, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 6.599683333333333, 'M_BLOCKING=16_best': 6.599683333333333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 6.510383333333333, 'M_BLOCKING=1_best': 6.510383333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 6.505516666666667, 'M_BLOCKING=2_best': 6.505516666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 6.544033333333333, 'M_BLOCKING=3_best': 6.544033333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 6.615233333333333, 'M_BLOCKING=6_best': 6.615233333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 57600, 'xsmm_reference_avg': 6.414433333333333, 'xsmm_reference_best': 6.414433333333333, 'xsmm_reference_cpu_freq': 2.499922, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 4.8768, 'M_BLOCKING=12_best': 4.8768, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 4.648700000000001, 'M_BLOCKING=16_best': 4.648700000000001, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 4.752716666666667, 'M_BLOCKING=1_best': 4.752716666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 4.7901, 'M_BLOCKING=2_best': 4.7901, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 4.819116666666667, 'M_BLOCKING=3_best': 4.819116666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 4.807966666666667, 'M_BLOCKING=6_best': 4.807966666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 57600, 'xsmm_reference_avg': 4.658133333333334, 'xsmm_reference_best': 4.658133333333334, 'xsmm_reference_cpu_freq': 2.499905, 'xsmm_reference_kernel_type': 'sparse'}
