{'N_BLOCKING=1 M_BLOCKING=16_avg': 268.538, 'N_BLOCKING=1 M_BLOCKING=16_best': 268.538, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 264.526, 'N_BLOCKING=1 M_BLOCKING=1_best': 264.526, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 258.845, 'N_BLOCKING=2 M_BLOCKING=10_best': 258.845, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 262.757, 'N_BLOCKING=3 M_BLOCKING=8_best': 262.757, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9000000, 'xsmm_reference_avg': 258.8, 'xsmm_reference_best': 258.8, 'xsmm_reference_cpu_freq': 2.999917, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=16_avg': 166.196, 'N_BLOCKING=1 M_BLOCKING=16_best': 166.196, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 157.516, 'N_BLOCKING=1 M_BLOCKING=1_best': 157.516, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 167.375, 'N_BLOCKING=2 M_BLOCKING=10_best': 167.375, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 184.128, 'N_BLOCKING=3 M_BLOCKING=8_best': 184.128, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9000000, 'xsmm_reference_avg': 158.92, 'xsmm_reference_best': 158.92, 'xsmm_reference_cpu_freq': 2.999898, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=16_avg': 212.2, 'N_BLOCKING=1 M_BLOCKING=16_best': 212.2, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 200.19, 'N_BLOCKING=1 M_BLOCKING=1_best': 200.19, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 196.077, 'N_BLOCKING=2 M_BLOCKING=10_best': 196.077, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 198.437, 'N_BLOCKING=3 M_BLOCKING=8_best': 198.437, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 6000000, 'xsmm_reference_avg': 188.94, 'xsmm_reference_best': 188.94, 'xsmm_reference_cpu_freq': 2.999853, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=16_avg': 167.732, 'N_BLOCKING=1 M_BLOCKING=16_best': 167.732, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 157.492, 'N_BLOCKING=1 M_BLOCKING=1_best': 157.492, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 170.156, 'N_BLOCKING=2 M_BLOCKING=10_best': 170.156, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 182.70799999999997, 'N_BLOCKING=3 M_BLOCKING=8_best': 182.70799999999997, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9000000, 'xsmm_reference_avg': 159.868, 'xsmm_reference_best': 159.868, 'xsmm_reference_cpu_freq': 2.999905, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=16_avg': 269.107, 'N_BLOCKING=1 M_BLOCKING=16_best': 269.107, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 261.629, 'N_BLOCKING=1 M_BLOCKING=1_best': 261.629, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 258.954, 'N_BLOCKING=2 M_BLOCKING=10_best': 258.954, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 262.703, 'N_BLOCKING=3 M_BLOCKING=8_best': 262.703, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9000000, 'xsmm_reference_avg': 261.404, 'xsmm_reference_best': 261.404, 'xsmm_reference_cpu_freq': 2.999881, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1 M_BLOCKING=16_avg': 244.137, 'N_BLOCKING=1 M_BLOCKING=16_best': 244.137, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 240.492, 'N_BLOCKING=1 M_BLOCKING=1_best': 240.492, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 236.289, 'N_BLOCKING=2 M_BLOCKING=10_best': 236.289, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 240.085, 'N_BLOCKING=3 M_BLOCKING=8_best': 240.085, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 234.17, 'xsmm_reference_best': 234.17, 'xsmm_reference_cpu_freq': 2.999891, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=16_avg': 344.231, 'N_BLOCKING=1 M_BLOCKING=16_best': 344.231, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 342.991, 'N_BLOCKING=1 M_BLOCKING=1_best': 342.991, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 403.891, 'N_BLOCKING=2 M_BLOCKING=10_best': 403.891, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 402.182, 'N_BLOCKING=3 M_BLOCKING=8_best': 402.182, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 3555552, 'xsmm_reference_avg': 379.034, 'xsmm_reference_best': 379.034, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=16_avg': 338.04, 'N_BLOCKING=1 M_BLOCKING=16_best': 338.04, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 332.533, 'N_BLOCKING=1 M_BLOCKING=1_best': 332.533, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 359.05899999999997, 'N_BLOCKING=2 M_BLOCKING=10_best': 359.05899999999997, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 349.711, 'N_BLOCKING=3 M_BLOCKING=8_best': 349.711, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 2133312, 'xsmm_reference_avg': 345.619, 'xsmm_reference_best': 345.619, 'xsmm_reference_cpu_freq': 2.999907, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=16_avg': 348.097, 'N_BLOCKING=1 M_BLOCKING=16_best': 348.097, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 343.945, 'N_BLOCKING=1 M_BLOCKING=1_best': 343.945, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 399.407, 'N_BLOCKING=2 M_BLOCKING=10_best': 399.407, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 381.48199999999997, 'N_BLOCKING=3 M_BLOCKING=8_best': 381.48199999999997, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 2666640, 'xsmm_reference_avg': 384.96, 'xsmm_reference_best': 384.96, 'xsmm_reference_cpu_freq': 2.999985, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=16_avg': 278.841, 'N_BLOCKING=1 M_BLOCKING=16_best': 278.841, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 281.931, 'N_BLOCKING=1 M_BLOCKING=1_best': 281.931, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 274.32, 'N_BLOCKING=2 M_BLOCKING=10_best': 274.32, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 282.35, 'N_BLOCKING=3 M_BLOCKING=8_best': 282.35, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 2666640, 'xsmm_reference_avg': 274.697, 'xsmm_reference_best': 274.697, 'xsmm_reference_cpu_freq': 2.99986, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=16_avg': 263.24300000000005, 'N_BLOCKING=1 M_BLOCKING=16_best': 263.24300000000005, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 266.367, 'N_BLOCKING=1 M_BLOCKING=1_best': 266.367, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2 M_BLOCKING=10_avg': 258.06, 'N_BLOCKING=2 M_BLOCKING=10_best': 258.06, 'N_BLOCKING=2 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=3 M_BLOCKING=8_avg': 261.84400000000005, 'N_BLOCKING=3 M_BLOCKING=8_best': 261.84400000000005, 'N_BLOCKING=3 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 254.437, 'xsmm_reference_best': 254.437, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'wide-sparse'}
